Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
nol12	rasal3	rab44
mcm2	zfp36l2	Sep-03
rrp12	iqsec1b	stx1b
kif20a	parvab	grap2a
gbp3	ypel3	csnk1a1
prc1b	wars2	pik3r1
ccnb1	lfng	rtn1a
dnajc11a	tubg1	nusap1
swi5	fam117aa	f13a1b
pum3	CABZ01087948.1	napsa
prickle1b	soul5	nfe2l2a
nap1l4a	ccn2a	zfp36l1a
crip2	tex30	baz2ba
MYO1D	igfbp5b	irak3
si:ch211-173p18.3	rab14l	optn
mxc	gnao1a	si:ch1073-220m6.1
zgc:153215	col5a1	BX005073.3
dnajc15	saraf	fosl2
irf10	mhc1zea	RASA2
chst7	cry4	si:ch211-210c8.7
iah1	ufl1	sh3bp5la
exosc5	slc12a4	spns2
si:ch211-222k6.3	si:ch211-63o20.7	si:ch73-281n10.2
unga	dis3l	CU499336.2
msh6	lnpa.1	hoxc3a
tpd52	aldh9a1b	tpm3
spc25	nek2	antxr2a
dusp4	espl1	hbae1.1
spire1a	chek2	herpud1
rnmt	angel1	agap2
CABZ01080568.1	chek1	xaf1
rprd1b	fbxo22	ctsba
C9H2orf76	cybc1	ptpn11b
adka	cdkn1ba	sox11a
rnf144ab	use1	ctsl.1
trpc4a	lancl2	ccn1
eif4ebp3	immp1l	eif5a
rfc2	timp2b	CABZ01079192.1
neurl1b	rabepk	ctsc
cdc42se1	si:dkey-1h24.6	entpd1
ssbp3a	vat1	Sep-12
si:ch211-256m1.8	tmed8	ak3
zgc:110789	rnf145a	uros
rangap1a	ssh2a	sik2b
phc2a	ctdnep1a	arl5c
rpe	si:ch211-212g7.6	insig1
zgc:114119	anxa13l	sf3b1
jdp2b	ddx11	adgrg1
sgo1	si:ch73-288o11.5	cnn3a
gdf6a	vmp1	midn
ppfibp1b	rgs5a	wnk4b
btr29	ugdh	ldha
ntpcr	selenop	Sep-06
si:ch211-178n15.1	ggctb	elmo1
aar2	dnmbp	hexim1
swt1		ndfip1l
drd2b		ppan
afg3l2		ebna1bp2
polr2i		grna
mthfd1b		rgs5b
gask1b		cxcl18b
eif2b1		zbtb32
tyms		ggps1
nudcd1		acsl4a
stard13a		pabpc4
dhps		hist1h4l.11
scrn3		mhc2b
ankib1a		SENP7
pus1		coq10b
drg1		sptan1
kif2c		cnbpb
prpsap1		pfkfb4b
si:dkey-6i22.5		si:dkey-42i9.6
ska1		tox2
stard8		emp3b
zgc:110366		pdcd4b
ddx51		si:dkey-93h22.7
fam3a		rpl32
aprt		psmc1b
top2a		ckbb
imp3		dnaja2a
rhoj		atp2a3
mterf3		mapkapk2a
uraha		adam10a
socs3a		fgl2a
bloc1s5		CU984600.2
aifm2		abracl
triqk		itm2cb
dcaf13		ahr2
nrd1a		pptc7a
si:ch211-209n20.1		tnip2
vps72a		apbb1ip
sdr16c5b		rnf169
coa5		ccl34b.1
aatf		cebpg
gins1		il7r
dpm3		psmb10
chchd6a		vamp8
neu1		zfp36l1b
hspbp1		selenof
si:dkey-12j5.1		zfand5b
utp25		gnai2b
zpr1		ube2e3
zgc:158689		cxxc5a
map1sb		si:ch211-195b15.8
eloa		ikzf1
fermt2		ppp1cab
phf10		cmip
si:ch211-69g19.2		dok2
coa7		fthl30
gpr143		rbpjb
hoxc12a		klf7b
hibadhb		ZC3H12A
mrps2		tsc22d3
timm8a		brdt
abca4b		ubc
eva1bb		hbbe2
rilpl2		aplp1
eif2a		rab5if
p4ha2		pitpnaa
prim1		cdaa
btr31		skap2
rfc3		tmc8
tgm2l		si:dkeyp-75h12.7
ldlrap1a		tfap2a
ddc		polr3gla
FO907124.1		mid1ip1l
fmn2a		rel
marveld1		phactr2
slc36a1		gpr183a
dscc1		tktb
si:ch211-222f23.6		ccdc88b
chtf8		UTP14C
galm		gstp1
btr04		mrpl3
setdb1a		ppp1r15a
fgfrl1a		mfng
si:ch211-271e10.6		zfand5a
mcmbp		igf2bp1
trmt6		ksr1b
zgc:91944		jmjd1cb
p3h4		si:ch211-198c19.3
utp15		rps27a
C5H12orf65		prkacab
ccny		ccl35.1
timm13		ctsk
gins2		sod1
srm		gng3
eef1akmt1		runx3
kmt5ab		rbm5
ddx52		lyn
acsl3b		ncor2
pls3		ywhag2
smim12		mad2l1
CKS2		tmem70
plod3		slc20a1a
lrpprc		ndufa4
gpatch4		lgals9l1
mat1a		ipcef1
tjap1		fryl
pltp		hsp70.2
ftr59		elavl4
zcchc17		sars1
si:ch1073-143l10.2		skap1
grsf1		cebpa
plod2		uqcr10
parp9		sf3a3
idh3g		ip6k2a
itpk1a		csf2rb
znhit3		zgc:65894
slc38a4		tpm4a
cks2		letm2
trib1		ctsa
rrp36		tmsb4x
wdr74		ddx27
thyn1		aldocb
si:dkey-154b15.1		tet3
tbcd		pip4k2aa
si:ch73-340n8.4		baz1b
capn1a		syne1b
utp6		si:ch73-208g10.1
rgrb		seh1l
cd151l		nfil3-6
cited1		mdkb
zgc:66479		rrp1
tns2a		ctsh
rad51		eef2l2
mpp6a		b4galt6
spdl1		tspan36
bub1ba		tnfrsf9b
prmt7		si:busm1-194e12.11
polr1c		ncf1
sh3gl3b		impdh2
cntfr		ppat
il11ra		arrdc2
gabpb2a		irf8
si:dkey-182g1.6		kctd5a
oscp1a.1		mkrn1
gstt1b		mef2d
pter		spi1a
si:dkey-51a16.9		susd1
zgc:173552.3		ptpn4b
tnnt2d		inpp5d
