Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
		pbx1a
		atp1b3b
		arhgef33
		tbc1d10b
		WDR1
		FOXK2
		basp1
		anapc16
		si:dkey-112a7.4
		ldhba
		zgc:153993
		si:ch211-212k18.15
		gpr184
		arrdc3a
		myo10l3
		si:dkey-40c23.2
		stmn1b
		hspd1
		phlda1
		sf3b1
		btbd6a
		plscr3b
		s100v2
		malt3
		ms4a17a.8
		uba7
		scg3
		fxyd1
		rps6ka3a
		epsti1
		ndufc2
		gng12a
		peli1b
		clul1
		ccdc167
		rps4x
		robo1
		cfap298
		CR381673.1
		necap2
		stmn2a
		thy1
		igf2r
		bhmt
		pmela
		sh3glb1b
		ppm1g
		cct4
		epn2
		si:ch211-200p22.4
		tmem59l
		cart3
		gpia
		slc1a4
		akap12b
		cdc42ep4a
		fam168b
		si:rp71-45k5.4
		necab1
		ero1a
		cmpk
		kalrna
		si:ch73-92i20.1.1
		ncaldb
		mepce
		pgk1
		necap1
		hbba2
		anxa13
		hivep3b
		sgip1a
		cdv3
		cybc1
		ssuh2.2
		map1aa
		si:ch211-67e16.3
		col1a1b
		FQ377660.1
		gng7
		thap4
		svila
		parp12a
		hpdb
		srsf5a
		sdhb
		stom
		tnfsf13b
		gigyf1b
		CU019662.1
		msi2b
		rrp1
		dipk2b
		myl12.2
		hoxc11a
		myh9b
		si:dkey-23a13.17
		ldb1a
		auts2a
		cebpd
		ak2
		si:ch211-197g15.7
		meis1b
		slc66a3
		zgc:136605
		celf3a
		rps3
		mtmr11
		rpl31
		zgc:113411
		yy1a
		dennd1b
		tomm20a
		laptm4b
		vps35l
		rps12
		nat8l
		egln1b
		tpd52l2b
		eef1g
		timp2a
		tshz1
		zgc:153405
		ms4a17c.1
		txnl4a
		kif1aa
		ccl34b.4
		si:ch211-195b15.8
		hmgb1a
		churc1
		casp3a
		inka1b
		ddx27
		col1a1a
		sv2a
		chmp2a
		cd27
		grk4
		bmi1b
		slmapb
		nsg2
		cremb
		ctbp2a
		themis
		fuom
		marcksa
		dpysl2b
		plekhm1
		hbae3
		stxbp1a
		camk2n1a
		shroom2a
		phactr4a
		mex3b
		ndufs6
		atp5f1e
		chd4b
		prrc2a
		zgc:65894
		ddx6
		ptpn22
		si:ch211-196f19.1.1
		kdm7ab
		rasgef1bb
		chmp1b
		gadd45bb
		rpa3
		galk2
		dbn1
		upf3b
		tcea1
		si:ch211-5k11.8
		BOLA2
		ppm1la
		psma5
		arhgap45a
		rpz4
		dcun1d3
		chtopa
		c1qbp
		mllt11
		calcoco1a
		pcdh19
		slc6a17
		acap1
		gdi1
		dusp22b
		ybx1
		dpp3
		zdhhc18a
		tead1b
		rab13
		RALGDS
		baz1b
		si:dkey-172h23.2
		CABZ01066694.1
		arl8ba
		atp5mc3b
		si:ch211-145c1.1
		znfl2a
		prnprs3
		ifitm1
		snai1a
		pomp
		tfap2c
		myb
		map4l
		cry3b
		golga7ba
		slc7a8a
		slc25a43
		apoda.1
		gpx4b
		rbm28
		rab7a
		xpo1b
		gnptab
		sf3b5
		zgc:113232
		banf1
		snu13b
		reep3b
		hoxc11b
		aldob
		si:dkey-78l4.4
		wasla
		si:ch211-140m22.7
		rpl7l1
		ahcy
		usp36
		mras
		faxdc2
		C8H5orf51
		pcbp4
		phf14
		bin3
		ttyh3a
		chmp7
		osbpl9
		clgn
		commd2
		gadd45ga
		ank1a
		akr7a3
		spcs1
		uba52
		selenow2a
		cbx1a
		cct7
		pip4k2aa
		arpc1a
		CT956002.2
		ilf2
		ppfia3
		gba
		slc7a3a
		tuba2
		arl6ip5b
		cct5
		foxd3
		nudc
		atf4b
		cd8a
		top1
		clcn7
		lmna
		syt4
		zgc:174862
		cst3
		stau2
		midn
		zgc:153704
		ranbp9
		zfyve21
		tnrc18
		cad
		glula
		xkr8.3
		si:ch211-243a20.3
		rnpep
		tdh
		atp5f1d
		mtss1la
		ogfrl1
		dgkza
		golgb1
		lat
		si:ch73-208g10.1
		hnrnpa0b
		lsm12a
		sash1b
		ndufab1b
		ebf3a.1
		CABZ01080568.1
		si:ch211-232b12.5
		polr2k
		spsb4b
		zgc:174863
		ap2m1a
		fmnl3
		sox5
		swt1
		nup153
		hgh1
		ythdc1
		si:ch211-156b7.4
		snx7
		arl8bb
		hsp70l
		spry2
		tbc1d10c
		nampta
		si:dkey-260g12.1
		sypb
		bcar1
		u2af2b
		suclg2
		nip7
		BX908782.2
		fam207a
		gas7a
		mxra8b
		nfia
		stmn4
		crfb4
		ddx18
		schip1
		cers2a
		aebp2
		ctnna1
		rraga
		mibp2
		bada
		sept8a
		cpeb4a
		dock7
		skib
		cdc42bpb
		ascl1b
		map2
		wdr83os
		col6a3
		gnb1b
		zgc:174906
		cbx1b
		pacsin1a
		FP236542.1
		kctd4
		tlr5b
		si:ch73-361p23.3
		stmn4l
		DDX17
		si:dkey-11f4.20
		ywhae1
		RAPGEF2
		smad7
		si:ch211-197g15.10
		jund
		nabp1a
		rbms1a
		ehmt1b
		mbd3b
		aff2
		akr1a1b
		hdr
		pcdh2g28
		si:ch211-191j22.3
		plcg1
		dpf2l
		sept7a
		tasorb
		lrrfip1a
		adka
		prkd4
		postnb
		vps16
		tspan7b
		zeb1b
		tet2
		gzm3.2
		snap25a
		blmh
		nexmifa
		mical3a
		ifih1
		msi2a
		rapgef2
		tspan5a
		slc3a2b
		ogt.1.1
		spartb
		FO082781.1
		gtf2b
		ftr80
		si:ch211-114c12.2
		med10
		si:ch211-262i1.3
		dsc2l
		BX548011.2
		sec11a
		spcs2
		atp5pf
		rtn4b
		fbxo7
		im:7152348
		blf
		rmdn1
		ebna1bp2
		cytip
		ttc36
		il6st
		epc1b
		G3BP2
		megf8
		epc2
		cflara
		uqcrc2b
		rab11ba
		BX284696.1
		si:dkey-225k4.1
		si:ch211-183d5.2
		senp2
		plekhg5b
		pax7a
		tardbpl
		her6
		camta1b
		BX571715.1
		nr1d2a
		prelid3b
		pithd1
		fis1
		klf7a
		xpc
		slc36a1
		ammecr1
		stmn2b
		gpr132b
		chchd10
		gata3
		zfand5b
		fam210aa
		malt2
		arhgap35a
		anks1b
		si:ch73-138n13.1
		si:ch211-173p18.3
		napab
		olfm1b
		scg2b
		ube2d1b
		rras2
		socs1a
		mrpl34
		amotl2a
		hs1bp3
		tmed1b
		rell2
		mrpl16
		rpl27
		ptpn18
		atf3
		si:dkey-110g7.8
		bag3
		foxo3a
		slc6a22.2
		acox1
		CABZ01061894.1
		si:ch73-252i11.1
		anp32a
		cxcl12a
		ormdl1
		dbx1b
		rbfox3a
		mindy1
		rsf1b.1
		RSBN1
		purab
		CR293511.1
		pop4
		mt2
		tmem165
		riok1
		ralba
		tktb
		vgf
		adrb3a
		acy3.1
		aimp1a
		cyp20a1
		bcl2l1
		TPGS1
		adprm
		wu:fi09b08
		lamtor2
		hgd
		nr4a1
		mplkip
		dnajb2
		tnfrsf9b
		ttyh3b
		cxxc5b
		slc7a3b
		socs5b
		nrn1a
		hivep1
		slirp
		serinc2
		si:dkey-32e23.4
		arf6a
		psma8
		f3a
		tnfaip2a
		magt1
		twf1a
		si:ch73-248e21.1
		smfn
		si:dkeyp-97b10.3
		usp18
		dspa
		pbx3b
		unc13d
		ppp1r14ba
		ctsf
		hat1
		slc29a3
		zhx2a
		tuba8l
		foxo1a
		mvp
		eif4ebp3
		hpca
		fam92a1
		hspa9
		zbtb18
		UTP14C
		trip10a
		map1ab
		nfixb
		si:ch211-219a4.3
		cnpy3
		pdpk1a
		reep3a
		grwd1
		elovl4a
		chmp3
		impdh1a
		ccr9b
		pcloa
		ccz1
		maco1a
		si:dkey-19a16.7
		rragca
		il17ra1a
		xpo7
		taok3a
		si:ch73-347e22.4
		rrm2.1
		tbc1d10aa
		STMP1
		elf1
		zgc:153169
		dnajb1a
		si:ch73-86n18.1
		dbi
		cdk2ap2
		rpl13
		dync1i2a
		rgs5a
		prrx1a
		neo1a
		rgs3a
		etv5a
		CU929259.1
		kifap3a
		apex1
		sort1b
		thoc2
		hbaa2
		si:ch211-139d20.3
		sarnp
		mlf2
		march5l
		gpatch8
		roraa
		snx4
		coro1cb
		fosl1a
		utp23
		ptpn5
		eno2
		map1lc3a
		knop1
		gpr55a
		calr3b
		nsfb
		cd9b
		uchl1
		arhgap17b
		cox7a2l
		atp6ap1a
		nfkb2
		nr1d2b
		nsfa
		dclk1a
		cdc34a
		magi1b
		tmem176
		gars1
		edil3a
		cnot6a
		casp22
		adgrl2a
		hoxc10a
		tmem167a
		dnpep
		cdc16
		ftr06.1
		zgc:100918
		slc38a4
		gata1a
		mtmr8
		igf1rb
		luzp2
		si:ch73-109i22.2
		snx12
		iba57
		caprin1b
		aff3
		zgc:153426
		myo1g
		msrb3
		lrp1aa
		si:ch73-285p12.4
		nmnat1
		nckap1
		selenom
		si:ch1073-153i20.4
		arglu1a
		cd28
		hoxc3a
		col12a1a
		cd82b
		apc2
		ptpn11b
		si:dkeyp-123h10.2
		zgc:110796
		dock8
		ndufb8
		asxl1
		twist1a
		atxn1b
		fgd4a
		hsd17b10
		tmem178b
		pah
		zgc:195173
		g3bp2
		si:ch1073-291c23.2
		mrpl33
		MDFIC
		igf2bp3
		cox17
		agrn
		dlst
		ino80
		tmem243b
		arcn1b
		hsc70
		igf2bp1
		smg7
		dap
		lyrm4
		cdk5r2a
		stox2a
		znf609a
		gpc4
		rag1
		rasd1
		sec14l1
		dlx3b
		cln3
		axin1
		oxsr1a
		hnrnpa1b
		appb
		pfdn4
		jagn1b
		si:ch211-147a11.3
		smchd1
		cxcr3.1.1
		arl3b
		gap43
		phlda3
		afdna
		arhgef4
		gclc
		asf1ba
		ptbp2b
		ranbp1
		hirip3
		raph1b
		chd5
		itga5
		washc5
		cux1a
		tbx2b
		tnrc6c2
		clstn3
		fbxo44
		arid4a
		igfbp5b
		plpp1a
		pls3
		phc2b
		dpysl5a
		cpt2
		prkacaa
		cox4i2
		btg2
		phactr3b
		ddx3xa
		tusc3
		ctnna2
		lrrc47
		zyg11
		dab2ipb
		parm1
		hnrnpub
		fhl2a
		slc38a5a
		negr1
		tbx2a
		clu
		gzm3
		gcnt4a
		CABZ01008730.1
		pgm2l1
		ptgdsb.1
		rpn1
		fhit
		bik
		nrip1b
		tle2a
		tmem198a
		itm2ca
		rcor1
		zgc:175088
		ap5b1
		Mar-06
		CABZ01109481.1
		sec22ba
		bysl
		ube2d4
		si:dkey-81l17.6
		sh3rf1
		rpia
		ptpn11a
		selenot2
		dag1
		plxna3
		n4bp2
		ccn2a
		sh3gl1a
		hes6
		hars
		oser1
		cd8b
		chn1
		ptp4a3a
		triqk
		bop1
		rhocb
		adcy2b
		rbm38
		cry2
		zbtb4
		rab3il1
		kank2
		col5a2a
		ralab
		vps39
		aplnrb
		si:ch211-270g19.5
		si:ch211-1a19.3
		si:dkey-51a16.9
		casp3b
		eif3s6ip
		eef1a1a
		baz2a
		trib3
		myt1la
		nubp2
		psmb5
		ccdc80
		bach2b
		fstl3
		bcl7a
		larp4ab
		chordc1b
		LO017872.1
		nipa2
		si:dkey-276j7.1
		dnaja2a
		mars1
		si:dkey-57k2.7.1
		sox12
		skap1
		adnp2b
		eif3hb
		ephb3a
		plekha1a
		msx1b
		trim3a
		si:ch211-132g1.6
		impdh1b
		bxdc2
		il2rgb
		aph1b
		b3gnt2b
		fmnl2b
		id2b
		rps27.2
		rpl5b
		tent5c
		arhgef6
		cc2d1b
		twist2
		vps26c
		zgc:172139
		tapt1b
		optn
		chmp6b
		ebf3a
		col6a1
		fuca1.1
		si:dkey-178k16.1
		hgs
		cdh11
		ctsla
		myo1b
		lifrb
		xrn2
		txn2
		perp
		ppm1da
		ndufs8a
		samsn1b
		si:ch211-251b21.1
		rock2b.1
		scin
		bckdhbl
		dcn
		dop1b
		pcdh7a
		ranbp3b
		znf536
		scdb
		tjp1a
		ets1
		elovl6
		rnf185
		padi2
		niban1b
		ncoa4
		orai1a
		nbeaa
		ccnt1
		ier2a
		zic3
		zmp:0000001139
		si:ch211-262i1.6
		dicer1
		sec62
		rnf144ab
		cemip
		prkar2aa
		ksr1b
		zmp:0000001161
		calm3b
		plod1a
		arid1ab
		r3hdm1
		purba
		mbpb
		gng2
		lsm14ab
		hivep2a
		sh3bp1
		CRACD
		c1qtnf4
		gnb2
		gnb1a
		boc
		zgc:110158
		si:dkey-28b4.8
		csdc2a
		htra1b
		crip2l
		mab21l1
		si:ch211-198a12.6
		zgc:101679
		ubald1b
		prr14
		rab11bb
		xbp1
		fat1a
		mgst1.2
		sod1
		si:ch73-386h18.1
		prkchb
		wdr26b
		myh10
		eif1b
		ucp2
		ywhag2
		soul5
		aldh2.2
		col12a1b
		chchd6b
		hapln1a
		stxbp3
		pinx1
		rpl4
		atg5
		lgals3b
		nr4a2b
		mxi1
		znf318
		hells
		atp5f1c
		ak3
		mapk1
		rtf1
		ndufb11
		im:7151449
		spire1a
		dnajc5gb
		zgc:153631
		diras1a
		CR753886.1
		fpgs
		inhbaa
		bnip4
		ndufa2
		nedd8
		trmt61a
		dad1
		myclb
		ppfibp1b
		adss1
		scocb
		nars1
		rhoac
		cdk12
		ftr67
		cplx2
		cd3eap
		cd226
		pfkfb3
		ccnl1b
		atp1a3a
		gcat
		lamtor1
		igl1c3
		nifk
		map2k6
		chchd6a
		pdgfra
		faslg
		col6a2
		mak16
		zgc:194275
		ank3a
		chd1
		atp2b3b
		nubp1
		fam219aa
		slc6a1b
		lbr
		chst7
		rbm19
		ube2kb
		si:dkeyp-69b9.6
		prdx1
		chd4a
		rab10
		exosc7
		unc119b
		rcbtb2
		phactr2
		zgc:194443
		sgce
		cmtm7
		tax1bp3
		gak
		ppp1r14c
		dhrs13l1
		rnf165a
		prdx3
		gyg1a
		cd99
		snx11
		rab6bb
		psma4
		mpp6a
		hmbsb
		efna1b
		smc6
		chd2
		atpv0e2
		arfip1
		smad9
		ipcef1
		letm1
		sptbn1
		hdgfl2
		epdr1
		atf5a
		znf219
		nrp2b
		mrpl3
		iqsec1b
		bsnb
		luc7l
		mrpl9
		phospho2
		gpr85
		uck2b
		nup50
		rab8a
		si:dkey-23i12.7
		ehd1a
		robo2.1
		kifc1
		ripor3
		ptges3b
		prxl2b
		si:ch211-114l13.9
		atcaya
		mt-nd3
		rexo4
		zgc:153659
		pld7
		rfxap
		hprt1l
		mybbp1a
		golga7
		serpinh1b
		syt2a
		CU104709.1
		paics
		arl16
		psma6b
		pin1
		mphosph10
		traf4a
		si:ch211-150g13.3
		prickle1b
		cadm3
		nr3c1
		acbd7
		slc16a6b
		wee1
		palm2akap2.1
		zgc:100829
		trappc10
		FAM83G
		tcf3a
		si:dkey-238k10.2
		ppm1k
		pnisr
		cntfr
		zgc:158564
		rai1
		fam50a
		nt5e
		isca2
		snrpg
		sh3bp5la
		si:ch211-194e15.5
		ctnnd2a
		lpar1
		sucla2
		si:dkey-154b15.1
		map7d2a
		nfil3
		clpp
		dhrs13b.1.1
		samd11
		pou3f1
		znf143a
		C25H12orf73
		znf609b
		atl3
		CT583625.1
		map4k6
		hcfc1a
		mrps21
		irs2a
		tomm5
		zfhx4
		MYO1D
		tia1
		serinc5
		lig3
		LO018188.1
		foxp4
		osbpl2b
		SBNO2
		cmah
		ulk2
		cct3
		satb1b
		lamb1b
		pdia6
		dclk1b
		zbed4
		eif2s2
		pcdh18b
		anp32b
		gnai2b
		kcnma1a
		snrpd3l
		dennd3a
		wdr81
		srp68
		map7d2b
		ddah2
		snap91b
		zfyve26
		erf
		ist1
		atf5b
		prpf4ba
		svild
		pou2f1b
		wapla
		fryb
		dcaf7
		usp44
		ezrb
		acadm
		si:dkey-97a13.6
		vps41
		sub1a
		sdc2
		pcdh17
		mmp2
		syngr2a
		hsdl2
		tox3
		mt-co3
		relt
		atoh8
		per1b
		ccdc88c
		aspn
		kif5aa
		sec13
		cers5
		clk2a
		pak1
		lypc
		ubald1a
		atp1b3a
		vmo1a
		fyna
		srebf2
		islr2
		zgc:109889
		si:dkey-211g8.8
		c1d
		pwwp2b
		nras
		nudcd3
		ccser2a
		Sep-10
		rybpb
		parp1
		tyrp1b
		nrxn3a
		porb
		ccdc50
		tp53i11b
		smarcb1b
		cpt1ab
		yap1
		nfe2
		sept9a
		pard6gb
		igic1s1
		zfp36l2
		nfasca
		pskh1
		tnfsf14
		rab3ab
		paip2b
		rpl9
		dynll2a
		tmem176l.3a
		bdnf
		acvr2aa
		kirrel1a
		pcsk1nl
		rab39bb
		arid1b
		tpm4a
		yy1b
		xkrx
		spink2.1
		ccl36.1
		skia
		osbpl10b
		clip2
		tmem198b
		ewsr1a
		wwp1
		tmem134
		fli1b
		stag2b
		snap25b
		usp19
		glrx5
		pbrm1l
		hoxd10a
		CR847543.1
		si:ch211-276i12.9
		cxcr4a
		psmc5
		arl1
		zgc:55558
		si:dkey-286j17.4
		pam
		myo5b
		cryl1
		dusp8a
		si:dkeyp-72g9.4
		tmem70
		tpm2
		atp7a
		epn3a
		cd151l
		sh3gl2a
		hnrnpc
		trim35-14
		gch2
		srcap
		galnt7
		ciao2b
		rps6kal
		esf1
		rpp38
		ANPEP
		eif4bb
		ctdspla
		ulk1b
		aspa
		map1sb
		stxbp6
		yaf2
		fa2h
		cnrip1a
		rrp8
		pcyt2
		commd4
		slc25a3b
		herc1
		abi3bpb
		arpp21
		smarcc1a
		jak2a
		nr2f1a
		polr1a
		pip5k1ba
		uba5
		kank3
		pdia5
		ube2z
		puf60a
		ddx24
		utp3
		sertad2a
		jun
		si:ch211-183d21.1
		hsbp1l1
		srprb
		seh1l
		pdgfrl
		mt-atp6
		elmod1
		cirbpa
		si:ch211-286o17.1
		coa6
		si:dkey-1h24.6
		BX927081.1
		zgc:171686
		rab6ba
		tmem47
		tars1
		si:ch211-216l23.2
		mdn1
		isca1
		ap5s1
		rcn2
		gfm1
		rnf145a
		fbxw11b
		ubap2l
		pgm3
		rogdi
		srrm1
		galm
		zgc:194246
		frmd6
		aaas
		rnf169
		znf593
		IGLON5
		si:ch211-255g12.8
		pank2
		insig1
		ednrba
		atp5mc3a
		mab21l2
		bambib
		lpin1
		arglu1b
		jakmip2
		myca
		sptlc2b
		u2af1
		cdc25b
		psmg2
		map1b
		hvcn1
		TCIM
		zgc:122979
		celf4
		zyx
		tfe3a
		umps
		ENSDARG00000071353
		fam76b
		gzm3.3
		atp1b1b
		rc3h2
		si:ch73-367j5.3
		col9a2
		errfi1a
		cxcr3.3
		lfng
		CABZ01059408.1
		rnd1b
		tagln3b
		dennd2da
		pabpc1b
		eno3
		slc1a5
		cited1
		cdon
		pcdh7b
		psma1
		si:dkey-205h13.1
		slc38a3a
		tspan18b
		srsf1b
		ssh2a
		sf3a3
		smyd2a
		runx1t1
		caly
		ehd1b
		cygb1
		st6gal2a
		usp2a
		bbip1
		hsf2
		fgfr1op2
		mcama
		bnc2
		utrn
		s1pr1
		cdkn1a
		nmt1a
		rtn4r
		ppig
		matr3l1.1
		ccl25b
		smc1al
		asap1a
		cyp3c1
		txlna
		thrap3b
		BX005073.3
		si:ch1073-185p12.2
		eif4e1c
		atp2b2
		dlc1
		dnajc8
		rras
		atp2b3a
		psd2
		pou3f3b
		ctdsplb
		dlgap4a
		sdr16c5b
		srrm4
		rrp12
		cdca4
		si:dkey-7j14.6
		CAMK2N1
		gad2
		lysmd3
		pole3
		rhpn2
		CABZ01068367.1
		hivep3a
		dctpp1
		ptp4a2a
		zic2a
		cfap36
		wnk1a
		mctp1a
		polr2d
		si:dkey-266f7.5
		dlg1
		arl8a
		arhgef1b
		si:ch211-51e12.7
		acp5b
		cited4b
		plekhg2
		CU459056.1
		scarb2a
		plxnb2a
		mark2b
		smad1
		crebrf
		scrt2
		glod4
		si:ch73-352p18.4
		pi4kb
		igl3v5
		tapbpl
		prmt5
		manba
		zmynd11
		kidins220b
		tdg.2
		tank
		prr12a
		eif4ebp3l
		rorab
		adam23a
		tmed4
		sema4ba
		zgc:112982
		ptprn2
		derl3
		bambia
		wdfy3
		ankfy1
		sertad4
		ebag9
		ndufa1
		zgc:194578
		cdk6
		cdkn2aipnl
		ppfia4
		ndufs7
		fdps
		C5HXorf56
		fbp1a
		tfr1b
		gpx3
		plk3
		dhrs13a.3
		mtap
		csrnp1a
		cul5a
		si:dkey-23k10.5
		gtf2f2a
		fbxo9
		coa8
		nfybb
		si:dkey-147f3.8
		mfsd12a
		en2a
		angptl7
		arf4a.1
		lsm6
		ano5b
		glg1a
		rerea
		ap5m1
		atp11a
		sptlc2a
		vps26a
		polr3gla
		yars1
		adam8b
		stard9
		dgkaa
		dazap1
		bnip2
		rab40b
		irf9
		slc6a8
		slc39a7
		s100w
		znf827
		myo5aa
		st8sia5
		paxip1
		afg3l2
		ptprna
		tmeff2b
		zgc:154093
		st3gal3a
		gbp
		tgm2l
		SMIM10
		rbm4.1
		uxs1
		lin52
		sptlc1
		mfsd8
		caskin1
		u2af2a
		CABZ01081490.1
		cbsb
		serhl
		jagn1a
		rtf2
		lhfpl6
		serpine2
		tcp11l2
		hif1ab
		src
		slco5a1a
		syne1b
		nutf2l
		ciao2a
		bcl6aa
		slc44a2
		rb1cc1
		btbd6b
		snai2
		hist1h4l.11
		pop7
		bms1
		si:dkey-182g1.6
		si:ch211-126i22.5
		syngr3a
		myd88
		gstt1b
		hspa14
		acp2
		mafk
		sp4
		si:ch73-119p20.1
		trim3b
		bcat1
		mbd3a
		si:ch211-244c8.4
		sars1
		rbm33a
		rasl11b
		zbtb8os
		elmsan1b
		ahi1
		wtap
		tma7
		rad54l2
		pde10a
		hsd3b7
		ggact.2
		taf9
		cdc34b
		phf3
		tomm40
		mgat4a
		pik3c2b
		ddx61
		fkbp1b
		cenpx
		taf1
		psenen
		smarcc2
		pabpc4
		si:dkey-12l12.1
		ubl3a
		rufy2
		tfap4
		gosr2
		ndufa11
		CU499336.2
		gpm6bb
		neil1
		herc2
		BX511021.1
		eif5a
		ufm1
		fmnl2a
		ttf2
		klhl6
		snrnp70
		kmt5b
		hsd17b12a
		inka1a
		cox6a2
		ssbp4
		zfand2a
		si:dkey-40m6.8
		mgaa
		tdrd7b
		sptbn2
		atp1b1a
		lrrn1
		ppp1cab
		rbms2b
		fthl29
		mycbp2
		wasf3b
		si:dkey-58f10.10
		ndufa7
		mos
		ncbp2
		apba2b
		mrto4
		homer3b
		il10rb
		nt5c3a
		akip1
		emd
		rac3b
		atrxl
		gstz1
		tlcd2
		si:ch73-56d11.5
		rbp5
		rab34b
		crk
		atp2a3
		slu7
		abat
		phc2a
		cltb
		ptbp1b
		jade1
		insm1a
		ascc1
		commd5
		ahsa1b
		si:ch73-367f21.4
		si:dkey-177p2.6
		kti12
		fasn
		ppp1r1c
		lcp2a
		pclob
		tshz3b
		cry1a
		slc10a3
		pum1
		cd151
		mapre1b
		atxn2l
		gpatch4
		stam2
		setd2
		si:dkey-51e6.1
		smim8
		nipblb
		rorcb
		mrpl48
		cers1
		tbcela
		prr13
		aldh3a2a
		clic4
		get3
		pabpn1
		acvr1l
		zgc:162182
		dennd2b
		eif1axa
		get1
		p3h2
		krt4
		dhps
		gpnmb
		si:ch211-241b2.5
		si:ch211-181d7.3
		phf12a
		gyg1b
		npas4a
		tcirg1a
		ppifb
		tapbp.2
		fbxo11a
		cx39.4
		snap91a
		mroh1
		dctn1b
		si:ch211-244o22.2
		selenou1a
		si:cabz01101003.1
		krt15
		ldlrap1a
		mrps18a
		aldh18a1
		safb
		pkz
		lhx9
		slc7a10a
		dennd5b
		timm23a
		CABZ01079192.1
		arcn1a
		ppp3ca
		nsd1a
		cdk15
		crebbpa
		zic1
		slc4a10a
		dnajc12
		ppp1cbl
		zranb2
		pom121
		si:ch73-380l3.2.1
		sdhaf3
		lrrc58b
		dstyk
		washc4
		ttll7
		mrpl32
		polr1d
		cyldl
		kctd17
		zgc:158689
		pgm2
		sf3b4
		eif3f
		pcdh10a
		fam174b
		rnf146
		polr3h
		gpat4
		srsf9
		uqcrb
		CT573476.1
		zgc:92664
		cers2b
		f3b
		tspan7
		si:ch211-194b1.1
		zgc:110540
		fnbp1l
		mtmr14
		en2b
		gtf3aa
		pkn1a
		camk2d2
		slc2a1b
		dok1b
		alyref
		atrnl1b
		pnp4a
		abcf2a
		serpina10a
		sgk1
		ssr4
		fkbp5
		rbms2a
		ctdp1
		retreg3
		si:dkey-17o15.2
		gatd3a
		bpnt1
		psmd4a
		ptp4a2b
		pum3
		eif2b2
		myh14
		kirrel3l
		pard3ab
		slc32a1
		stx6
		si:dkey-7j14.5
		rybpa
		si:dkey-19a16.2
		slc47a2.2
		rcc1
		slc2a3a
		lmnb2
		arhgef1a
		lama4
		unkl
		pdgfrb
		usp25
		spryd3
		casp20
		leng8
		hdac4
		sil1
		ythdf2
		BX470259.2
		COA4
		selenoj
		zgc:63863
		si:dkey-72l14.4
		arhgap31
		tcf7l1a
		irs1
		rnf25
		pdcd4a
		prpf19
		zgc:66448
		stk38a
		paqr3a
		sncgb
		hoxa10b
		sort1a
		plxna4
		canx
		ttll4
		si:dkey-89b17.4
		si:ch211-165e15.1
		ap2b1
		atg4c
		nol4la
		hic1l
		arvcfb
		cfap70
		slc35e4
		creb1a
		dek
		cdk5rap3
		fbxl14a
		ddx49
		mapk14b
		ppdpfa
		znf839
		slc25a55a
		macroh2a2
		cbx4
		b4galt6
		copg2
		ENSDARG00000105209
		gde1
		GCNT4
		dhdds
		ube2t
		soul3
		C7H4orf48
		hps4
		elf2a
		il16
		zgc:66313
		dvl3a
		lyar
		EPB41L2
		mov10b.1
		mrgbp
		nsd3
		fgfrl1a
		trit1
		rbm10
		siah1
		xiap
		vsnl1b
		tgfb1a
		si:ch73-141c7.1
		hoxa9b
		klf11b
		si:ch211-150o23.2
		arhgap4b
		fen1
		pik3c3
		mhc1zba
		snrpd2
		idh1
		slc35g2a
		per3
		fbxo32
		dcun1d1
		tet3
		golt1bb
		elavl1a
		sigmar1
		nol7
		lim2.2
		kras
		zgc:101562
		znhit3
		tp53inp1
		dnase1l4.2
		bbc3
		cttn
		si:dkey-67c22.2
		bcas3
		bud31
		mettl9
		crlf1a
		prkcea
		kalrnb
		ifit10
		naa10
		ssb
		zgc:175214
		kmt2ca
		hspbp1
		clasp1a
		micos13
		thrb
		eif3eb
		leng1
		snx30
		cnot6l
		zc3h4
		sdhdb
		dhrs1
		cxcl14
		bida
		pigp
		smap1
		trim35-28
		adma
		pggt1b
		vps18
		ndel1b
		si:dkey-14o6.2
		tspan17
		C9H2orf76
		arid1aa
		elob.1
		rad23b
		tra2a
		rbm4.2
		ENSDARG00000055383
		bcam
		men1
		ikzf1
		il11ra
		nit2
		utp4
		pi4k2b
		agr2
		mrps26
		dtnbp1a
		C20H12orf57
		paxbp1
		nufip2
		mad2l1
		nbas
		atp13a3
		syngr1a
		aspm
		anxa1a
		bptf
		jmjd1cb
		fnbp4
		dynlt1
		frmd4ba
		akap1b
		st8sia6
		zgc:113340
		proza
		lef1
		maf1
		pald1a
		flj11011l
		sh3pxd2aa
		parga
		prkci
		gid8a
		pfas
		dnajc3b
		igf2b
		sh3d21
		akirin1
		syne1a
		ssbp3b
		dusp16
		mib1
		GGH
		znf576.2
		ctnnb1
		chka
		atxn7
		trib1
		nusap1
		dusp4
		cbx6a
		carmil2
		rrbp1b
		zgc:65997
		cul3a
		st8sia4
		C7H19orf12.3
		si:dkeyp-121d4.3
		jarid2b
		rab3ip
		erap1b
		cfd
		rbmx
		noc4l
		ttf1
		si:ch73-288o11.5
		rexo1
		rpl19
		eif4a2
		ddt
		sh2b1
		b3galt2
		CABZ01026681.1
		tacc3
		wdr33
		rhogc
		si:dkey-263j23.1
		ddx56
		sgsm3
		rhoq
		zc3h15
		cdk9
		stx16
		mxd3
		emc8
